,sciname,geom,geosd,n,range,max,min,recoveryyearmean,arimean
Canada Goose,Branta canadensis,17.30463428,7.64481887,940,18,20,2,4.660638298,128.7693721
Purple Martin,Progne subis,7.625358972,14.13003958,690,8,9,1,2.07826087,41.14800003
Turkey Vulture,Cathartes aura,70.59127481,4.156933966,435,9,11,2,4.627586207,169.3865872
Peregrine Falcon,Falco peregrinus,65.67101597,4.399372058,424,19,20,1,5.54009434,137.8708179
Roseate Tern,Sterna dougallii,9.292658212,13.67606804,377,21,23,2,6.429708223,80.63385958
Osprey,Pandion haliaetus,37.53764324,4.611648518,154,21,24,3,7.74025974,126.8169495
Caspian Tern,Hydroprogne caspia,90.04903825,5.219367246,130,30,32,2,9.130769231,240.4220051
Brown Pelican,Pelecanus occidentalis,149.5395776,8.931468224,128,17,18,1,3.84375,450.4866736
Royal Tern,Thalasseus maximus,80.44756427,8.735906894,124,29,31,2,14.23387097,338.2110859
Double-crested Cormorant,Phalacrocorax auritus,14.79527806,11.43934929,120,21,22,1,6.425,109.9590126
Bald Eagle,Haliaeetus leucocephalus,72.1359416,3.073050807,109,27,32,5,11.5412844,139.0124832
Trumpeter Swan,Cygnus buccinator,22.63637215,4.130843632,106,18,20,2,7.905660377,67.91886146
American White Pelican,Pelecanus erythrorhynchos,160.2116375,4.506256417,92,16,19,3,7.782608696,339.1081459
Tree Swallow,Tachycineta bicolor,22.05775092,4.27580941,84,6,7,1,2.464285714,67.55954831
American Kestrel,Falco sparverius,25.44788015,3.502288975,77,6,7,1,2.142857143,65.6673505
Barn Owl,Tyto alba,14.06919925,3.570316928,75,11,12,1,2.56,34.28741156
Mourning Dove,Zenaida macroura,6.971215981,3.001718886,73,3,3,0,0.383561644,11.1826195
Black-footed Albatross,Phoebastria nigripes,644.1695452,2.443111954,68,21,26,5,12.05882353,791.3950958
Common Tern,Sterna hirundo,33.06606166,7.800721749,62,21,23,2,9.580645161,109.6618706
Sandwich Tern,Thalasseus sandvicensis,45.40262525,6.26227819,59,20,23,3,10.57627119,138.898995
Herring Gull,Larus argentatus,13.26851761,7.051156365,50,25,29,4,7.76,46.39684793
Mallard,Anas platyrhynchos,64.38313275,10.19038895,46,10,11,1,3.130434783,270.5094065
Least Tern,Sternula antillarum,34.60360209,6.009252103,43,20,22,2,10.62790698,166.6860873
Eastern Bluebird,Sialia sialis,15.03504687,7.56127043,36,4,5,1,1.833333333,73.18538028
Wood Stork,Mycteria americana,136.0793304,2.740901569,25,17,20,3,6,216.3025324
American Oystercatcher,Haematopus palliatus,19.7923902,7.364742947,25,9,12,3,6.36,102.6617918
Mountain Bluebird,Sialia currucoides,22.44024517,4.801837293,22,4,5,1,2.363636364,60.26167039
Piping Plover,Charadrius melodus,135.9967719,3.356185526,21,6,7,1,1.904761905,247.3165368
Red-tailed Hawk,Buteo jamaicensis,34.21810065,6.267373451,20,28,29,1,8.75,200.1409502
Black Skimmer,Rynchops niger,10.16722632,11.67017051,18,16,18,2,4.5,61.4701316
Snail Kite,Rostrhamus sociabilis,45.53511414,2.958771624,18,11,12,1,4.888888889,65.48059189
Western Gull,Larus occidentalis,54.525361,2.27711934,17,15,19,4,10.11764706,73.39216151
Brandt's Cormorant,Phalacrocorax penicillatus,285.5187977,3.159772348,15,14,16,2,6.733333333,463.7985063
Cooper's Hawk,Accipiter cooperii,17.81284581,4.536242467,15,12,13,1,4.8,57.71831312
Golden Eagle,Aquila chrysaetos,76.29868117,3.829968342,14,23,26,3,8.928571429,185.3649024
Burrowing Owl,Athene cunicularia,7.35806701,8.554885899,14,6,7,1,2.785714286,109.6209029
Great Egret,Ardea alba,117.358042,6.220567127,13,17,18,1,5.153846154,313.9587074
Great Black-backed Gull,Larus marinus,63.44164287,10.10824487,12,4,8,4,5.25,192.3472204
Ring-billed Gull,Larus delawarensis,44.49501531,2.565656802,12,19,21,2,11.33333333,72.4256309
Red-cockaded Woodpecker,Dryobates borealis,14.21325303,4.88441142,12,4,5,1,2.416666667,36.1990836
California Gull,Larus californicus,19.6355419,4.229938026,10,25,27,2,8.6,118.0953686
Sandhill Crane,Antigone canadensis,22.42600634,2.653296918,10,16,18,2,6.5,33.96326368
Gull-billed Tern,Gelochelidon nilotica,8.367393042,6.067898418,8,16,20,4,9.875,38.72168549
Ferruginous Hawk,Buteo regalis,102.9366906,7.297338363,8,12,14,2,6.75,328.0659412
Western Bluebird,Sialia mexicana,4.214918294,3.845084461,8,1,2,1,1.125,6.421985086
Elegant Tern,Thalasseus elegans,37.7045445,6.948324946,7,7,16,9,12.42857143,158.5664403
Black Brant,Branta bernicla,31.33576872,10.73484004,7,18,20,2,8.142857143,172.7743662
Reddish Egret,Egretta rufescens,20.35490451,7.162073359,7,4,5,1,1.714285714,119.4521921
Northern Goshawk,Accipiter gentilis,22.02593711,4.254791146,7,10,12,2,4.857142857,35.30395999
Red-shouldered Hawk,Buteo lineatus,20.62120478,3.485992073,5,5,6,1,3.2,36.36132188
Barred Owl,Strix varia,6.349398376,1.96486503,5,8,11,3,6.4,7.755788376
Wood Duck,Aix sponsa,4.379489004,3.864090572,4,2,4,2,2.75,9.102877271
Spectacled Eider,Somateria fischeri,9.228492028,1.068733306,4,3,14,11,12.75,9.243805084
Snowy Plover,Charadrius nivosus,37.0956669,17.68097062,4,1,2,1,1.25,258.6140159
Ash-throated Flycatcher,Myiarchus cinerascens,9.323680713,1,4,0,1,1,1,9.323680713
Common Loon,Gavia immer,10.42885718,1.762022823,3,9,14,5,8.333333333,11.49713034
Glossy Ibis,Plegadis falcinellus,203.3609194,1.993951129,3,6,9,3,5.666666667,241.4087905
Black-crowned Night-Heron,Nycticorax nycticorax,6.291541836,2.45510218,3,11,18,7,11,8.309647072
American Woodcock,Scolopax minor,260.2105477,2.000150026,3,1,2,1,1.666666667,298.3929179
Snowy Owl,Bubo scandiacus,3.551702989,1.458345923,3,3,4,1,2,3.727885135
Barn Swallow,Hirundo rustica,16.96486253,3.635975622,3,0,1,1,1,27.21236808
Razorbill,Alca torda,477.4643143,1.293457612,2,3,12,9,10.5,485.3897347
Arctic Tern,Sterna paradisaea,44.50607266,9.802270633,2,25,27,2,14.5,116.2098611
Snow Goose,Anser caerulescens,511.4213271,1.099486869,2,2,4,2,3,512.5718561
Snowy Egret,Egretta thula,42.63405736,8.205697321,2,6,8,2,5,99.24094678
Swainson's Hawk,Buteo swainsoni,14.74400149,1.285045354,2,0,4,4,4,14.97645043
Prairie Falcon,Falco mexicanus,114.5633132,4.461852614,2,2,4,2,3,184.8219336
Merlin,Falco columbarius,10.36598024,14.37437102,2,0,1,1,1,34.91578643
Great Horned Owl,Bubo virginianus,10.25316168,3.448732031,2,13,24,11,17.5,14.43919986
Common Raven,Corvus corax,3.37089957,1.082540346,2,1,15,14,14.5,3.376201823
European Starling,Sturnus vulgaris,17.1429715,3.158883234,2,3,4,1,2.5,23.13255718
House Sparrow,Passer domesticus,2.778091027,5.248663198,2,2,3,1,2,4.916183855
Pigeon Guillemot,Cepphus columba,41.47443128,NA,1,0,2,2,2,41.47443128
Common Murre,Uria aalge,19.10654846,NA,1,0,8,8,8,19.10654846
Thick-billed Murre,Uria lomvia,1500.848123,NA,1,0,30,30,30,1500.848123
Black-legged Kittiwake,Rissa tridactyla,25.23675863,NA,1,0,12,12,12,25.23675863
Laughing Gull,Leucophaeus atricilla,14.03897896,NA,1,0,13,13,13,14.03897896
Forster's Tern,Sterna forsteri,552.6652553,NA,1,0,8,8,8,552.6652553
Black Tern,Chlidonias niger,68.50798173,NA,1,0,3,3,3,68.50798173
Fork-tailed Storm-Petrel,Oceanodroma furcata,5.639582638,NA,1,0,25,25,25,5.639582638
Red-tailed Tropicbird,Phaethon rubricauda,1499.726086,NA,1,0,8,8,8,1499.726086
Brown Booby,Sula leucogaster,108.5226669,NA,1,0,2,2,2,108.5226669
Northern Gannet,Morus bassanus,2715.280848,NA,1,0,7,7,7,2715.280848
Common Merganser,Mergus merganser,0.668806371,NA,1,0,1,1,1,0.668806371
Mottled Duck,Anas fulvigula,57.86448165,NA,1,0,6,6,6,57.86448165
Northern Pintail,Anas acuta,2.541645117,NA,1,0,1,1,1,2.541645117
Lesser Scaup,Aythya affinis,0.697859425,NA,1,0,1,1,1,0.697859425
Common Goldeneye,Bucephala clangula,1.165930376,NA,1,0,5,5,5,1.165930376
King Eider,Somateria spectabilis,1.324141494,NA,1,0,5,5,5,1.324141494
White-winged Scoter,Melanitta deglandi,10.80646399,NA,1,0,6,6,6,10.80646399
Emperor Goose,Anser canagicus,810.1116004,NA,1,0,19,19,19,810.1116004
White-faced Ibis,Plegadis chihi,789.3352312,NA,1,0,2,2,2,789.3352312
American Avocet,Recurvirostra americana,353.9684603,NA,1,0,15,15,15,353.9684603
Hudsonian Godwit,Limosa haemastica,21.41897625,NA,1,0,6,6,6,21.41897625
Whimbrel,Numenius phaeopus,6.909362073,NA,1,0,13,13,13,6.909362073
Wilson's Plover,Charadrius wilsonia,2.399691808,NA,1,0,5,5,5,2.399691808
Black Oystercatcher,Haematopus bachmani,22.60057223,NA,1,0,4,4,4,22.60057223
Western Screech-Owl,Megascops kennicottii,4.314334428,NA,1,0,5,5,5,4.314334428
American Crow,Corvus brachyrhynchos,51.76120295,NA,1,0,11,11,11,51.76120295
Black-capped Vireo,Vireo atricapilla,4.535889139,NA,1,0,1,1,1,4.535889139
Cactus Wren,Campylorhynchus brunneicapillus,0.457560115,NA,1,0,2,2,2,0.457560115
House Wren,Troglodytes aedon,147.4331741,NA,1,0,4,4,4,147.4331741
Brown-headed Nuthatch,Sitta pusilla,3.532518744,NA,1,0,3,3,3,3.532518744
Black-capped Chickadee,Poecile atricapillus,2.996373957,NA,1,0,2,2,2,2.996373957