,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Life history traits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movement,,,,,,,,,,,,,,,,,,,,,Habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topography,,Biogeographical region,,,,,,,,,,,Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threats,,,,,,,,,,,,,,,,,,,,,
Traits,Sexual dimorphism,Body mass (in g),,,,Body length (in mm),,,,,,,,,Limb length,,,,,,,,,,,,Fingers and webbing,,,,,,,Coloration,,Activity,,,Survival rates,,,Sexual maturity (in years),,,Mating systems,,Eggs and young,,,,,,,,,,,,,,,,,,,,,,Parental care,,,,,,Food diet,,,,,,,,,,,,,Metabolism,Defense,,,,,Communication,,,,Territoriality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Snout-to-vent length (in mm),,,Total length (in mm),,,Proportion head length/body length,,,Foot length (in mm),,,Hind limb length (in mm),,,Tibia length (in mm),,,Proportion fore limb/hind limb length,,,Discs,Webbing,,,Number of toes/fingers,,Tubercle,,,,,,,,,,,,,,Number of eggs/offspring,,,Egg laying mode,,,Eggs and larvae characteristics,,,,,Clutch position,,,,,,,,,,Breeding season,,,,,,,Food active or passive,Food of juveniles,,,,,,Food of adults,,,,,,,,,,,,,,,,,,,Home range,Movement event,Dispersal active or passive,Sex biased dispersal,Mode of displacement,,,,,,Dispersal,,,,,,Migration,,,,,forest,,,,,,,,,savanna,,shrubland,,,,,,,,grassland,,,,,,,wetlands,,,,,,,,,,,,,,,,rocky areas,caves and subterranean habitats (non-aquatic),,deserts,,,artificial/terrestrial,,,,,,other,,,,,,,,,,,,,,Europe occupied UTM 50x50 km cells,Asia,,,,,,,,,,,,Africa,,,,,,,,,North America,,,,,,,Sout America,,,,,,Australia,,,,Global distribution,,,IUCN status,,,,,,Population trend,,,,Major threats,,,,,,,,,,,
Species,Presence of sexual dimorphism,Body mass in males,Body mass in females,Adult body mass,Body mass in juveniles,Snout-to-vent length in males,Snout-to-vent length in females,Adult snout-to-vent length,Total length in males,Total lenght in females,Adult total length,Head length < Body length,Head length = Body length,Head length > Body length,Foot length in males,Foot length in females,Adult foot length,Hind limb length in males,Hind limb length in females,Adult hind limb length,Tibia length in males,Tibia length in females,Adult tibia length,Fore limb length < Hind limb length,Fore limb length = Hind limb length,Fore limb length > Hind limb length,Presence of discs,Presence of webbing,Webbing on toes only,Webbing on fingers and toes,Reduction on fingers only,Reduction on fingers and toes,Presence of metatarsal tubercle,Dorsoseparation,Webbing colour contrast,Diurnal,Nocturnal,Both,Survival rate in adults,Survival rate in juveniles,Survivale rate in tadpoles,Sexual maturity in males,Sexual maturity in females,Adult sexual maturity,Polyandry,Polygyny,Viviparous: number of offspring,Ovoviviparous: number of eggs,Ovoviviparous: number of offspring,Single,Cluster,Strings,Metamorphosis size,Number of eggs or offspring,Egg diameter,Egg mass,Pole visible on egg,On ground,On adult,Attach in lotic habitat,Attach in lentic habitat,Free in lentic habitat,On surface in lentic habitat,Attach on swamps in lentic habitat,Free on swamps in lentic habitat,On surface on swamps in lentic habitat,On surface on non-permanent lentic ponds,Explosive or prolonged,Presence of parental care,Transport of eggs,Transport of tadpoles,Guarding eggs,Defend eggs,Water eggs,,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Metabolism rate,Secretion,Toxicity,Death simulation,Unken reflex,Other,Visual,Acoustic,Chemical,Seismic,Males territorial,Females territorial,Both territorial,,,,,Walker,Jumper,Runner,Climber,Swimmer,Crawler,Dispersal stage juvenile,Dispersal stage adult,Dispersal stade during breeding season,Mean dispersal distance,Maximum dispersal distance,Minimal dispersal distance,Migration stage adult,Migration stage during breeding season,Mean migration distance,Maximum migration distance,Minimal migration distance,boreal,subarctic,subantarctic,subtropical/tropical dry,temperate,subtropical/tropical moist lowland,subtropical/tropical mangrove vegetation aboral,subtropical/tropical swamp,subtropical/tropical moist montane,dry,moist,subarctic,subantarctic,boreal,temperate,subtropical/tropical dry,subtropical/tropical moist,tropical high altitude,mediterranean-type shrubby vegetation,tundra,subarctic,subantarctic,temperate,subtropical/tropical dry,subtropical/tropical seasonally wet/ flooded,subtropical/ tropical high altitude,permanent rivers/streams/creeks (including waterfalls),intermittent/irregular rivers/streams/creeks,shrub dominated wetlands,bogs/marshes/swamps/fens/peatlands,permanent freshwater lakes (>8ha),seasonal/intermittent freshwater lakes (>8ha),permanent freshwater marshes/pools (>8ha),seasonal/intermittent freshwater marshes/pools (<8ha),freshwater springs and oases,tundra wetlands,geothermal wetlands,permanent inland deltas,"permanent saline, brackish or alkaline lakes","seasonal/intermittent saline, brackish or alkaline lakes","permanent saline, brackish or alkaline marshes/pools",karst and other subterranean hydrological systems,"inland cliffs, moutain peaks",caves,other subterranean habitats,hot,temperate,cold,arable land,pastureland,plantations,rural gardens,urban areas,subtropical/tropical heavily degraded former forest,dunes,Altitude min,Altitude max,Alpine,Anatolian,Arctic,Atlantic,Black Sea,Boreal,Continental,Mediterranean,Macaronesian,Pannonian,Steppic,absolute,absolute,ponctual,< 10 %,10-20 %,20-30 %,30-40 %,40-50 %,50-60 %,60-70 %,70-80 %,80-90 %,> 90 %,absolute,ponctual,< 15 %,15-30 %,30-45 %,45-60 %,60-75 %,75-90 %,> 90 %,absolute,ponctual,< 20 %,20-40 %,40-60 %,60-80 %,> 80 %,absolute,ponctual,< 25 %,25-50 %,50-75 %,> 75 %,absolute,ponctual,< 50 %,> 50 %,Ubiquity,Subendemic,Endemic,Data Deficient,Least Concern,Near Threatened,Vulnerable,Endangered,Critically Endangered,Data Deficient,Decrease,Stable,Increase,Habitat loss,Invasive alien,Harvesting,Accidental,Persecution,Pollution,Climate change,Natural disasters,Change dynamics,Intrinsic factors,Human disturbance,Unknow
Alytes cisternasii,0,DD,DD,5.02,DD,36.75,38.38,37.56,37.75,39.83,37.56,1,0,0,13.00,12.50,12.75,45.00,43.50,45.28,13.00,13.00,13.15,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,DD,DD,DD,DD,DD,2.00,0,1,0,0,0,1,0,0,25.00,60,3.50,0.02,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,DD,0,1,0,0,0,0,1,1,1,0,0,0,DD,1,0,0,0,0,1,1,0,0,1,0,0,DD,DD,DD,DD,1,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,1800,0,0,0,0,0,0,0,1,0,0,0,178122.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Alytes dickhilleni,DD,DD,DD,DD,DD,44.70,DD,47.17,DD,DD,47.17,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,0,1,1,0,1,DD,DD,0,1,0,DD,DD,DD,DD,DD,2.00,DD,DD,0,0,0,1,0,0,25.00,40,DD,DD,DD,0,1,0,0,0,0,0,0,0,0,0,DD,1,0,1,1,1,DD,DD,DD,DD,DD,DD,DD,1,1,DD,DD,DD,DD,DD,1,0,0,0,0,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,340,2100,0,0,0,0,0,0,0,1,0,0,0,31402.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Alytes muletensis,0,DD,DD,2.31,DD,34.70,35.65,35.18,DD,DD,35.18,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,DD,DD,DD,DD,DD,3.00,DD,DD,0,0,0,1,0,0,DD,20,7.00,DD,DD,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,DD,0,1,0,0,0,0,1,1,DD,DD,DD,DD,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,300,400,0,0,0,0,0,0,0,1,0,0,0,240.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Alytes obstetricans,0,DD,11.70,11.70,3.50,45.05,49.57,47.31,46.15,51.60,47.31,1,0,0,15.25,15.00,15.13,54.25,55.00,58.61,16.00,15.00,17.38,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,DD,0.40,DD,DD,DD,2.50,0,1,0,0,0,1,0,0,26.50,70,5.00,0.04,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,DD,1,0,0,0,1,1,1,0,0,1,0,0,DD,1,1,0,1,1,0,1,1,0,0,1,0,DD,500.00,DD,DD,DD,DD,500.00,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2400,1,0,0,1,0,0,1,1,0,0,0,1209435.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Anaxyrus americanus,DD,118.70,59.30,60.00,DD,62.87,76.89,69.88,64.56,76.89,69.88,1,0,0,DD,DD,29.00,DD,DD,DD,DD,53.33,21.00,1,0,0,0,1,1,0,1,0,DD,DD,DD,0,1,0,DD,DD,DD,DD,DD,3.00,DD,DD,DD,DD,DD,0,0,1,9.50,20000,1.40,DD,DD,0,0,1,1,0,0,1,0,0,0,0,DD,0,0,0,0,0,DD,0,0,0,0,1,1,1,1,1,0,0,0,0.15,1,0,0,0,1,1,1,0,0,0,0,0,687.95,DD,DD,DD,1,1,0,0,0,0,DD,DD,DD,DD,DD,DD,1,0,452.73,4023.36,13.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1524,0,0,0,0,0,0,0,0,0,0,0,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Atylodes genei,1,DD,DD,3.92,DD,53.29,49.00,51.15,DD,DD,98.24,0,0,1,DD,DD,6.50,DD,DD,16.33,DD,DD,DD,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,1,0,0,20.00,10,5.50,DD,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,DD,0,1,0,0,0,0,DD,DD,DD,1,DD,DD,DD,DD,DD,DD,DD,DD,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,1,0,0,0,2246.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Bombina bombina,1,3.17,2.97,3.07,0.87,38.89,40.00,39.44,36.60,36.80,39.44,1,0,0,17.00,16.33,16.67,52.33,51.67,52.00,14.33,14.00,14.17,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,DD,DD,DD,1.00,2.00,1.00,0,1,0,0,0,1,0,0,15.00,300,1.20,0.32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,DD,1,0,0,1,0,1,1,1,0,1,0,0,60.00,1,1,0,1,1,0,0,1,0,1,1,0,DD,DD,DD,1,0,DD,170.00,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,1,0,0,1,1,1,1,1,0,1,1,3799904.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0
Bombina pachypus,DD,DD,DD,DD,DD,45.75,45.25,45.50,DD,DD,45.50,1,0,0,16.00,15.00,15.50,52.50,49.00,50.75,16.00,15.00,15.50,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,3.00,DD,DD,DD,DD,DD,1,0,0,DD,300,1.20,0.32,DD,0,0,0,0,1,0,0,1,0,0,DD,0,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,250.00,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,0,0,1,1,0,0,0,101449.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Bombina variegata,1,6.56,6.77,6.32,DD,45.08,44.34,44.71,DD,DD,44.71,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0.80,0.04,0.13,DD,DD,1.50,0,1,0,0,0,0,1,0,13.90,170,2.00,0.01,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,DD,1,0,0,1,0,1,1,1,0,1,0,0,DD,1,1,0,1,1,0,0,1,0,1,1,1,DD,4000.00,DD,1,1,192.73,3800.00,6.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2100,1,0,0,0,0,0,1,1,0,1,0,1392652.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0
