Species,Snout-to-vent length in males,Snout-to-vent length in females,Adult snout-to-vent length,Total length in males,Total lenght in females,Adult total length,Head length < Body length,Head length = Body length,Head length > Body length,Foot length in males,Foot length in females,Adult foot length,Hind limb length in males,Hind limb length in females,Adult hind limb length,Tibia length in males,Tibia length in females,Adult tibia length
Alytes cisternasii,36.75,38.38,37.56,37.75,39.83,37.56,1,0,0,13,12.5,12.75,45,43.5,45.28,13,13,13.15
Alytes dickhilleni,44.7,DD,47.17,DD,DD,47.17,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Alytes muletensis,34.7,35.65,35.18,DD,DD,35.18,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Alytes obstetricans,45.05,49.57,47.31,46.15,51.6,47.31,1,0,0,15.25,15,15.13,54.25,55,58.61,16,15,17.38
Anaxyrus americanus,62.87,76.89,69.88,64.56,76.89,69.88,1,0,0,DD,DD,29,DD,DD,DD,DD,53.33,21
Atylodes genei,53.29,49,51.15,DD,DD,98.24,0,0,1,DD,DD,6.5,DD,DD,16.33,DD,DD,DD
Bombina bombina,38.89,40,39.44,36.6,36.8,39.44,1,0,0,17,16.33,16.67,52.33,51.67,52,14.33,14,14.17
Bombina pachypus,45.75,45.25,45.5,DD,DD,45.5,1,0,0,16,15,15.5,52.5,49,50.75,16,15,15.5
Bombina variegata,45.08,44.34,44.71,DD,DD,44.71,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Bufo bufo,66.11,88.46,77.28,62.73,83.17,77.28,1,0,0,34.67,46.4,40.53,95.3,138.3,112.65,27,39.2,33.1
Bufo mauritanicus,132,150,141,DD,DD,141,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Calotriton arnoldi,58.95,58.45,58.7,104.6,104.6,103.95,0,1,0,DD,DD,DD,DD,DD,18.27,DD,DD,DD
Calotriton asper,64.97,61.67,63.32,112.93,121.01,116.7,0,1,0,DD,DD,DD,18.29,16.51,16.5,DD,DD,DD
Chioglossa lusitanica,45.09,45.94,45.51,156,164,159,0,0,1,DD,DD,DD,12.62,12.6,14.04,DD,DD,DD
Discoglossus galganoi,54.85,49.2,52.03,50.5,46.5,52.03,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus jeanneae,39.5,40.7,40.1,DD,DD,40.1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus montalentii,DD,DD,60,DD,DD,60,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus pictus,56.49,47.86,52.18,DD,DD,52.18,1,0,0,27.25,23.5,25.38,89.75,80,86.67,29.75,26,28.83
Discoglossus sardus,54.6,55.5,55.05,DD,DD,55.05,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Epidalea calamita,59.03,67.13,63.08,72.88,72.75,63.08,1,0,0,24,22.33,23.17,68.67,67.67,68.17,20.67,20,20.34
Euproctus montanus,56,58,57,DD,DD,116.5,0,0,1,DD,DD,DD,DD,DD,20.5,DD,DD,DD
Euproctus platycephalus,59.85,43.55,51.7,127,112,120,0,0,1,DD,DD,DD,30.3,25.2,16.5,DD,DD,DD
Hyla arborea,41.19,44.03,42.61,43.07,44.35,42.61,1,0,0,17.33,18.67,18,58,19.33,60.84,18,18.67,19.07
Hyla intermedia,38.03,43.93,40.98,DD,DD,40.98,1,0,0,DD,DD,17.14,DD,DD,DD,DD,DD,15.72
Hyla meridionalis,38.59,39.45,39.02,DD,DD,39.02,1,0,0,17.33,17.67,17.5,64.33,65.67,65.02,20.33,17.67,20.55
Hyla sarda,DD,DD,35.6,DD,DD,35.6,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Lissotriton boscai,32.18,38.12,35.15,66.44,77.2,72.49,0,1,0,DD,DD,DD,DD,DD,13.5,DD,DD,32.94
Lissotriton helveticus,34.5,39.64,37.07,72,76,77.24,0,1,0,DD,DD,DD,DD,DD,14,DD,DD,DD
Lissotriton italicus,DD,DD,DD,DD,80,67.28,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Lissotriton montandoni,38.79,45.04,41.91,75,100,83.85,0,1,0,DD,DD,DD,13.4,13.6,14.17,DD,DD,DD
Lissotriton vulgaris,39.98,41.38,40.68,72,76,84.23,0,1,0,DD,DD,DD,DD,DD,14.5,DD,DD,DD
Lithobates catesbeianus,134.74,135.53,135.14,105.3,113.2,135.14,1,0,0,66.33,65.56,65.95,186.83,190.56,188.98,55.17,58.44,56.81
Lithobates sylvaticus,53.04,62.32,57.68,46.05,52.55,57.68,1,0,0,22.9,27.38,30.88,72.1,86.19,95.59,22.6,27.88,29.49
Lyciasalamandra helverseni,DD,DD,DD,DD,DD,140,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD
Lyciasalamandra luschani,62.83,61.34,62.08,126,129,118.65,0,0,1,DD,DD,DD,DD,DD,22.19,DD,DD,DD
Mesotriton alpestris,45.59,53.84,49.72,92,120,95.06,0,1,0,DD,DD,DD,DD,DD,17,DD,DD,DD
Pelobates cultripes,65.9,70.18,68.04,70,80,68.04,1,0,0,DD,DD,DD,89.3,88,88.65,24.6,24.3,24.5
Pelobates fuscus,48.91,57.13,53.02,45.87,53.89,53.02,1,0,0,DD,DD,DD,74,82,78,20,23,21.5
Pelobates syriacus,DD,DD,90,DD,DD,90,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pelodytes ibericus,35.17,40.72,37.95,DD,DD,37.95,1,0,0,DD,DD,DD,DD,DD,55.85,DD,DD,14.84
Pelodytes punctatus,36.67,43.31,45.88,36.32,43.31,45.88,1,0,0,DD,DD,41.43,DD,DD,63.67,16,18,17.67
Pelophylax bedriagae,58.8,61.7,60.25,DD,DD,60.25,1,0,0,28.6,29.9,29.25,DD,DD,DD,26.4,27.8,27.1
Pelophylax bergeri,50,57.5,53.75,DD,DD,53.75,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pelophylax cerigensis,DD,DD,62.25,DD,DD,62.25,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,29.46
Pelophylax cretensis,DD,DD,72.3,DD,DD,72.3,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,32.79
Pelophylax epeiroticus,72.42,83.98,78.2,74.4,83,78.2,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pelophylax esculentus,79.71,97.88,88.79,DD,DD,88.79,1,0,0,40.25,50.25,5.38,125.5,159.5,142.75,39,50,44.5
Pelophylax grafi,DD,DD,92.5,DD,DD,92.5,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pelophylax hispanicus,DD,DD,100,DD,DD,100,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pelophylax kurtmuelleri,DD,DD,100,DD,DD,100,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pelophylax lessonae,54.45,60.25,57.35,DD,DD,57.35,1,0,0,29.67,33.75,31.71,85.33,96.25,90.79,24,27.5,27.07
Pelophylax perezi,50.33,61.6,55.96,52,65.6,55.96,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pelophylax ridibundus,72.24,87.88,80.06,DD,DD,80.06,1,0,0,29.67,33.75,DD,85.3,96.25,142.75,24,27.5,42.53
Pelophylax shqipericus,70.6,73.8,72.2,70.6,73.8,72.2,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pleurodeles waltl,87.4,82.25,84.83,78.22,142,218.3,0,0,1,DD,DD,DD,40,DD,33.5,DD,DD,DD
Proteus anguinus,DD,DD,169.9,DD,DD,257,0,0,1,DD,DD,DD,DD,DD,17.6,DD,DD,DD
Pseudepidalea viridis,69.95,78.77,74.36,DD,DD,74.36,1,0,0,31.14,31.56,30.53,93.75,91.75,92.75,24.98,24.55,24.46
Rana arvalis,57.89,56.48,#DIV/0!,DD,DD,57.19,1,0,0,37.25,33.5,34.13,111.25,91,101.13,34,27.75,30.88
Rana dalmatina,49.17,64.57,56.87,55.65,64.9,56.87,1,0,0,31.75,38.5,35.13,101.25,125.25,113.25,33.25,42,37.63
Rana graeca,51.75,58,54.88,DD,DD,54.88,1,0,0,29.5,29.5,29.5,98.5,99,98.75,33,29.5,32.25
Rana iberica,37.71,45.09,41.4,39.13,46.14,41.4,1,0,0,25,28.5,26.75,76,92,84,24,29.5,26.75
Rana italica,DD,DD,60,DD,DD,60,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Rana latastei,42.42,45.44,43.93,DD,DD,43.93,1,0,0,30,33.67,31.83,94,107.67,100.84,32,35.3,33.67
Rana pyrenaica,38.5,43,40.75,DD,DD,40.75,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Rana temporaria,69.45,70.83,70.14,67.57,72.39,70.14,1,0,0,39.5,42.75,41.13,116.25,128.25,122.25,37,40.75,38.88
Salamandra algira,DD,DD,80.2,DD,DD,188.75,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Salamandra atra,66.95,71.23,69.09,144,151,115.15,0,1,0,DD,DD,DD,DD,DD,23.5,DD,DD,DD
Salamandra corsica,DD,DD,DD,180,190,200,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Salamandra lanzai,82.55,83.68,83.11,DD,DD,138,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Salamandra salamandra,129.75,155.25,142.5,DD,DD,175.25,0,1,0,DD,DD,DD,DD,DD,41,DD,DD,DD
Salamandrina perspicillata,31,40.33,35.66,DD,DD,92.95,0,1,0,DD,DD,DD,DD,DD,11.5,DD,DD,DD
Salamandrina terdigitata,DD,DD,33.31,90,110,94,0,1,0,DD,DD,DD,DD,DD,10.68,DD,DD,DD
Speleomantes ambrosii,53.31,55.93,54.62,DD,DD,125,0,0,1,DD,DD,6.9,DD,DD,17.01,DD,DD,DD
Speleomantes flavus,60,63.92,61.96,DD,DD,112.5,0,0,1,DD,DD,9.09,DD,DD,21.25,DD,DD,DD
Speleomantes imperialis,60.85,62.16,61.51,DD,DD,121.61,0,0,1,DD,DD,8.59,DD,DD,21.07,DD,DD,DD
Speleomantes italicus,52.2,56.23,54.22,DD,DD,94.61,0,0,1,DD,DD,6.72,DD,DD,17.32,DD,DD,4.81
Speleomantes sarrabusensis,DD,DD,DD,DD,DD,DD,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes strinatii,58.48,63.59,61.03,115,125,119.5,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes supramontis,60.47,63.6,62.04,DD,DD,116.59,0,0,1,DD,DD,DD,DD,DD,20.99,DD,DD,DD
Triturus carnifex,70.19,72.28,71.24,DD,DD,144.42,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Triturus cristatus,64.33,69.28,66.81,140,180,140.05,0,1,0,DD,DD,DD,DD,DD,26.5,DD,DD,DD
Triturus dobrogicus,62.99,66.69,64.84,120,130,132.08,0,1,0,DD,DD,DD,DD,DD,20.01,DD,DD,DD
Triturus karelinii,68.84,71.12,69.98,109.21,122.33,136.89,0,1,0,DD,DD,DD,24.03,22.71,25.94,DD,DD,DD
Triturus marmoratus,65.74,72.43,69.08,132,146,138.3,0,1,0,DD,DD,DD,DD,DD,28,DD,DD,DD
Triturus pygmaeus,49.49,43.9,46.7,DD,DD,101.07,0,1,0,DD,DD,DD,DD,DD,18.55,DD,DD,DD
Xenopus laevis,62.49,73.3,67.9,59.9,63.3,67.9,1,0,0,DD,DD,29,DD,DD,DD,DD,DD,22